spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	114824	6119	1333322475	195253898	8425038	66465
50_100	50 - 100	111951	5638	252252157	36487496	850357	85647
100_1k	100 - 1k	25284	2927	2638336102	555437713	7417097	1670486
1k_5k	1k - 5k	2290	500	1837955313	356833811	15308646	1185678
5k_10k	5k - 10k	965	156	624843237	78582164	5257776	291207
10k_50k	10k - 50k	801	111	1107883442	113182813	8352771	230512
50k_100k	50k - 100k	4	4	117631012	11763101	133798	66899
