spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
5k_10k	5k - 10k	European Parliament		178362315106	Facebook	17	1	11823487	5836819	124055	58454
5k_10k	5k - 10k	People's Vote UK	People's Vote	748608695327755	Facebook	61	1	8752321	3879702	120932	25653
5k_10k	5k - 10k	Best For Britain	Best for Britain	1863944713844924	Facebook	49	1	8095217	3748046	99205	24231
5k_10k	5k - 10k	Conservatives	The Conservative Party	8807334278	Facebook	29	1	6562897	3060423	57045	11411
5k_10k	5k - 10k	Podemos	Unidas Podemos	269212336568846	Facebook	6	1	5999994	3000000	59994	30000
5k_10k	5k - 10k	The Labour Party	The Labour Party	25749647410	Facebook	21	1	3366458	1445199	41309	8263
5k_10k	5k - 10k	The Brexit Party	The Brexit Party	230416667843105	Facebook	27	1	3046111	1455050	54520	13099
5k_10k	5k - 10k	UK government	UK government	408582579294175	Facebook	16	1	2845370	1242134	33352	9595
5k_10k	5k - 10k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	21	1	1975549	892236	41778	9088
5k_10k	5k - 10k	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	12	1	1577346	703663	24544	6371
5k_10k	5k - 10k	Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	7	1	1530209	680094	13769	2754
5k_10k	5k - 10k	Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	5	1	1190162	544075	9835	1967
5k_10k	5k - 10k	Mayor of London	the Greater London Authority	360322167647280	Facebook	6	1	1088148	476065	11802	2360
5k_10k	5k - 10k	London Gov	the Greater London Authority	713179875369048	Facebook	5	1	1020139	442061	9835	1967
5k_10k	5k - 10k	Vlaams Belang	Vlaams Belang	56605856504	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	European Greens		141366725876424	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Partito Democratico		77034286895	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Facebook Brussels	Facebook	287739491272583	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Les Energies du Soleil		1684031805239401	Facebook	1	1	999999	500000	9999	5000
