advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	0_50	0 - 50	11174	1	92311747	41140	459707	0
COALICION CANARIA		AR489541609348661248	Google	0_50	0 - 50	5395	1	57720555	1464612	221954	0
AMERISOFT SRL		AR573801583431647232	Google	0_50	0 - 50	184	1	45946055	4550173	7569	0
CDU	CDU	78502295414	Facebook	0_50	0 - 50	14110	1	40508410	8237280	1392542	0
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	0_50	0 - 50	176	1	35068425	3480512	7240	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	0_50	0 - 50	2576	1	34673473	1472840	105978	0
Partidul Pro Romania		AR116025139887341568	Google	0_50	0 - 50	134	1	31612597	3102016	5512	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	0_50	0 - 50	5474	1	29827395	6427929	540239	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_50	0 - 50	1524	1	26980142	1522209	62698	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_50	0 - 50	861	1	24931330	1925389	35422	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	0_50	0 - 50	259	1	17756373	1645632	10655	0
Open Vld		AR369049153717665792	Google	0_50	0 - 50	636	1	17600038	1374103	26165	0
Slovenska demokratska stranka		AR170068335415787520	Google	0_50	0 - 50	35	1	17098120	1703229	1439	0
SPD	SPD	47930567748	Facebook	0_50	0 - 50	4632	1	16726143	3470165	457140	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	0_50	0 - 50	136	1	16670255	1604491	5595	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	0_50	0 - 50	434	1	15345521	1283593	17855	0
Sloboda a Solidarita		AR242125929453715456	Google	0_50	0 - 50	483	1	15156274	1184855	19871	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	0_50	0 - 50	227	1	14382826	1316505	9338	0
HLAS		AR312619193323225088	Google	0_50	0 - 50	975	1	13428360	592427	40112	0
FDP	FDP	21289227249	Facebook	0_50	0 - 50	1897	1	13397272	3085366	187218	0
Mediabrands Digital OÜ		AR530356305605427200	Google	0_50	0 - 50	350	1	13247340	1135486	14399	0
ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ ΕΔΕΚ		AR519097306537000960	Google	0_50	0 - 50	51	1	12194135	1209539	2098	0
CDA Doetinchem		AR453512812329697280	Google	0_50	0 - 50	61	1	11609936	1143714	2509	0
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	0_50	0 - 50	29	1	11568795	1151942	1193	0
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	0_50	0 - 50	921	1	11132702	394951	37890	0
