advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd3	Last 3 days	120	1	12825540	5592608	19713	4656
European Greens		141366725876424	Facebook	rd3	Last 3 days	115	1	10536929	4680994	60447	14511
FDP	FDP	21289227249	Facebook	rd3	Last 3 days	1685	1	9860627	2933155	106059	4379
Make.org	Make.org	122037308191612	Facebook	rd3	Last 3 days	25	1	9023422	4340038	38529	8917
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd3	Last 3 days	742	1	7423012	2196197	79691	6532
Partito Democratico		77034286895	Facebook	rd3	Last 3 days	132	1	6488676	2730490	19819	3569
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd3	Last 3 days	371	1	5852281	2526754	26544	4971
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd3	Last 3 days	116	1	5590824	2285831	20976	5703
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd3	Last 3 days	72	1	4886223	2068125	27160	6787
SPÖ	SPÖ	77393060080	Facebook	rd3	Last 3 days	605	1	4792796	1490265	44950	6875
sp.a	sp.a	57253967150	Facebook	rd3	Last 3 days	210	1	4782900	1735107	19799	3577
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rd3	Last 3 days	37	1	4134649	1756333	3178	937
România în primul rând	Future Innovation	770704223323599	Facebook	rd3	Last 3 days	34	1	3941661	1722892	4643	1077
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd3	Last 3 days	113	1	3735310	1583821	23476	4824
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd3	Last 3 days	854	1	3535107	1071933	59876	6832
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd3	Last 3 days	168	1	3372928	1507041	29709	5875
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd3	Last 3 days	23	1	3350366	1456725	6410	2722
Open Vld	Open Vld	53668151866	Facebook	rd3	Last 3 days	191	1	3135385	1230935	19052	4792
Centerpartiet	Centerpartiet	12690894340	Facebook	rd3	Last 3 days	221	1	3131248	1076757	40267	9469
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd3	Last 3 days	167	1	3016383	920738	10715	456
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd3	Last 3 days	30	1	2876714	1277619	6297	1702
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	rd3	Last 3 days	159	1	2849860	977941	47137	12152
