week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-12	CZ	Czechia	2257	194	22344544	7426131	75267	18154
w018	Week 18	2019-04-29	2019-05-05	CZ	Czechia	1445	207	15719474	5748094	56960	17484
w017	Week 17	2019-04-22	2019-04-28	CZ	Czechia	1107	199	8264235	2535766	36727	10063
w016	Week 16	2019-04-15	2019-04-21	CZ	Czechia	981	221	10151983	3441154	36428	9064
w015	Week 15	2019-04-08	2019-04-14	CZ	Czechia	1027	308	6255721	2425176	28271	5324
w014	Week 14	2019-04-01	2019-04-07	CZ	Czechia	823	307	3264221	1141771	12516	2213
w013	Week 13	2019-03-25	2019-03-31	CZ	Czechia	576	215	3546010	1351100	15581	3333
w012	Week 12	2019-03-18	2019-03-24	CZ	Czechia	462	191	3976125	1540171	19037	4016
w011	Week 11	2019-03-11	2019-03-17	CZ	Czechia	255	113	1167619	324844	3566	661
w010	Week 10	2019-03-04	2019-03-10	CZ	Czechia	271	98	1416577	465223	2853	525
w009	Week 9	2019-02-25	2019-03-03	CZ	Czechia	126	52	260128	66720	1109	114
w008	Week 8	2019-02-18	2019-02-24	CZ	Czechia	103	47	348201	101340	889	180
w007	Week 7	2019-02-11	2019-02-17	CZ	Czechia	80	42	419295	128107	682	132
w006	Week 6	2019-02-04	2019-02-10	CZ	Czechia	73	34	300211	87798	879	171
w005	Week 5	2019-01-28	2019-02-03	CZ	Czechia	75	29	158533	44769	292	65
w004	Week 4	2019-01-21	2019-01-27	CZ	Czechia	58	26	97030	32290	298	79
w003	Week 3	2019-01-14	2019-01-20	CZ	Czechia	68	26	281024	88915	826	181
w002	Week 2	2019-01-07	2019-01-13	CZ	Czechia	46	24	121008	33193	192	52
w001	Week 1	2019-01-01	2019-01-06	CZ	Czechia	28	14	102704	51108	396	188
