day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d137	2019-05-17	44019	4290	170189500	60356998	1223584	144721
d136	2019-05-16	47414	4619	196600765	69086446	1413435	169931
d135	2019-05-15	43860	4549	180881886	63179044	1198383	162964
d134	2019-05-14	40586	4373	181340558	65087831	1140666	169684
d133	2019-05-13	37491	4218	159740307	57729079	1062368	158073
d132	2019-05-12	39129	4156	154520331	48747178	838385	126351
d131	2019-05-11	38883	4230	151880860	49019838	848549	131797
d130	2019-05-10	40117	4313	165201932	52968930	913894	144119
d129	2019-05-09	40148	4188	148444684	47091501	958708	125401
d128	2019-05-08	36668	3950	135762433	43151086	843713	121304
d127	2019-05-07	35103	3911	132564340	42158907	830824	110084
d126	2019-05-06	31789	3727	128857976	43289564	723500	110162
d125	2019-05-05	29651	3615	96529815	32235619	554898	84499
d124	2019-05-04	29122	3579	102088724	34527368	547216	86790
d123	2019-05-03	29540	3766	122241313	43456662	752956	127966
d122	2019-05-02	31401	4130	103832922	33277704	816133	88098
d121	2019-05-01	25914	4043	78938285	26201055	583562	82240
d120	2019-04-30	27809	4146	89142874	28886631	649222	80852
d119	2019-04-29	23439	3981	87122665	31055200	540086	85278
d118	2019-04-28	21434	3802	62819118	22020669	399439	58736
d117	2019-04-27	20753	3814	61870677	21950172	353272	54931
d116	2019-04-26	28001	3834	137860771	50468042	929222	152920
d115	2019-04-25	27152	3761	132262933	46007437	992892	140665
d114	2019-04-24	24007	3653	109732823	38088994	760200	106064
d113	2019-04-23	21548	3588	92238141	31672312	606324	85053
d112	2019-04-22	18630	3510	69863601	24231941	387675	57356
d111	2019-04-21	17353	3588	59723153	21127863	335250	45699
d110	2019-04-20	17562	3758	57397874	19886683	353134	46480
d109	2019-04-19	18210	3954	60062752	20608211	358892	47139
d108	2019-04-18	18489	4067	67534881	21540798	470068	49611
d107	2019-04-17	17783	4125	67200510	22274286	453896	52252
d106	2019-04-16	16899	4264	71700895	24433101	462937	55004
d105	2019-04-15	16374	4635	79416090	28278832	506256	71467
d104	2019-04-14	15577	4769	54025864	18891828	287697	42798
d103	2019-04-13	15707	4939	56557185	19909445	297041	42107
d102	2019-04-12	16980	5161	75168541	26714946	497222	66040
d101	2019-04-11	15866	5067	63430491	22471599	401891	58540
d100	2019-04-10	14738	4921	52401853	18320247	340948	48353
d099	2019-04-09	14266	4735	59638456	20846024	399237	57814
d098	2019-04-08	14525	4645	57033449	19536343	488881	63082
d097	2019-04-07	12642	4506	42507546	14681450	250738	36808
d096	2019-04-06	12697	4583	45668367	16082331	257455	37895
d095	2019-04-05	13686	4761	55041909	18892387	358106	47888
d094	2019-04-04	12454	4600	49068545	16347364	335707	47496
d093	2019-04-03	11794	4297	42103219	13838145	268079	35281
d092	2019-04-02	10952	4020	41442004	13738171	273129	37671
d091	2019-04-01	10640	3835	40127589	13239688	272565	33268
d090	2019-03-31	10729	3796	35783345	12441923	227766	32818
d089	2019-03-30	10783	3879	36919413	12740662	219111	30803
d088	2019-03-29	11189	4041	46682557	16677808	286128	41576
d087	2019-03-28	10876	3872	44392268	15984634	294122	43156
d086	2019-03-27	10278	3669	47971478	17797309	303856	46964
d085	2019-03-26	10400	3534	41926476	15115975	287428	42481
d084	2019-03-25	11020	3496	40446068	14031718	346388	44609
d083	2019-03-24	10508	3485	32532388	11143157	246728	28762
d082	2019-03-23	9963	3586	33324034	11570790	217105	28342
d081	2019-03-22	10994	3812	45958386	16585973	362251	50294
