advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	d019	2019-01-19	20	1	484737	228424	2268	481
We are the 52%	We are the 52%	466744973727718	Facebook	d019	2019-01-19	17	1	403550	168009	867	125
People's Vote UK	People's Vote	748608695327755	Facebook	d019	2019-01-19	274	1	295295	75651	8941	858
Kyriakos Mitsotakis		34848567724	Facebook	d019	2019-01-19	3	1	224998	105000	548	100
Plan International Sverige		382243262003	Facebook	d019	2019-01-19	81	1	172754	65779	1776	445
Alex Salmond	Slainte Media	136191876445102	Facebook	d019	2019-01-19	1	1	166666	66666	192	38
Pela Case		119283008140727	Facebook	d019	2019-01-19	2	1	99998	20000	396	66
Best For Britain	Best for Britain	1863944713844924	Facebook	d019	2019-01-19	30	1	99400	46425	742	270
European Commission		107898832590939	Facebook	d019	2019-01-19	4	1	86666	41333	439	106
European Greens		141366725876424	Facebook	d019	2019-01-19	2	1	83928	31071	96	14
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	d019	2019-01-19	3	1	74998	15000	148	0
Δημιουργία Ξανά	Δημιουργία Ξανά	226397774096827	Facebook	d019	2019-01-19	3	1	74998	15000	148	0
Albioma		2029944603927727	Facebook	d019	2019-01-19	8	1	65340	29059	121	19
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	d019	2019-01-19	4	1	63748	12700	773	144
Estremi Rimedi - Web Series		1888810884668917	Facebook	d019	2019-01-19	3	1	62749	27500	174	25
London Labour Party	The London Labour Party 	474613052643462	Facebook	d019	2019-01-19	6	1	62548	26941	203	60
Scientists for EU	Scientists for EU	642444842524195	Facebook	d019	2019-01-19	3	1	62194	14878	255	28
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	d019	2019-01-19	2	1	59999	30000	199	40
Nick4Mayor	Nick Forbes for North of Tyne Mayor Campaign	1223209701167500	Facebook	d019	2019-01-19	1	1	49999	10000	114	0
38 Degrees	38 Degrees	200006375787	Facebook	d019	2019-01-19	14	1	48138	21261	564	20
350.org		12185972707	Facebook	d019	2019-01-19	10	1	47776	9888	296	44
NT Live	NT Live	107334993856	Facebook	d019	2019-01-19	66	1	43246	13312	566	28
Stop Cambio Climático		124967441456981	Facebook	d019	2019-01-19	4	1	41944	17277	66	11
EU Watch	EU Watch	136146920436020	Facebook	d019	2019-01-19	1	1	39999	20000	115	23
Banque mondiale		155174084508744	Facebook	d019	2019-01-19	36	1	37467	15976	65	5
