spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	PT	Portugal	132	33	3417426	1349226	7277	0
50_100	50 - 100	PT	Portugal	132	33	10801	4231	26	0
100_1k	100 - 1k	PT	Portugal	57	15	6894438	3123845	12576	3571
1k_5k	1k - 5k	PT	Portugal	10	2	5409965	2653156	29635	5928
