country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LT	Lithuania	vilnius_county	Vilnius County	2552	606	5419494	1699428	24043	1882
LT	Lithuania	kaunas_county	Kaunas County	2292	537	1884072	655787	8897	737
LT	Lithuania	klaipeda_county	Klaipėda County	2030	459	981383	292494	4334	225
LT	Lithuania	siauliai_county	Šiauliai County	1876	440	565684	215806	3050	203
LT	Lithuania	panevezys_county	Panevėžys County	1768	403	348204	118557	977	103
LT	Lithuania	alytus_county	Alytus County	1632	358	229335	70720	748	43
LT	Lithuania	utena_county	Utena County	1611	354	225233	60724	676	24
LT	Lithuania	marijampole_county	Marijampolė County	1626	359	210401	91398	614	42
LT	Lithuania	telsiai_county	Telšiai County	1628	371	174384	66773	936	54
LT	Lithuania	taurage_county	Tauragė County	1490	324	74098	29859	295	21
