region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
blagoevgrad_province	Blagoevgrad Province	BG	Bulgaria	1354	424	67211	19833	845	10
burgas_province	Burgas Province	BG	Bulgaria	1434	453	48303	18608	217	14
haskovo_province	Haskovo Province	BG	Bulgaria	1191	381	15355	5943	48	3
kyustendil_province	Kyustendil Province	BG	Bulgaria	1047	332	3081	1110	28	0
lovech_province	Lovech Province	BG	Bulgaria	1031	326	4063	1558	12	0
montana_province	Montana Province	BG	Bulgaria	1043	314	3588	1361	13	0
pazardzhik_province	Pazardzhik Province	BG	Bulgaria	1190	369	16797	6158	143	3
pernik_province	Pernik Province	BG	Bulgaria	1087	341	8928	3146	33	4
pleven_province	Pleven Province	BG	Bulgaria	1250	398	19918	7565	61	4
plovdiv_province	Plovdiv Province	BG	Bulgaria	1577	468	213737	72031	725	50
ruse_province	Ruse Province	BG	Bulgaria	1283	393	30666	12491	160	4
sliven_province	Sliven Province	BG	Bulgaria	1121	357	8826	3425	25	1
smolyan_province	Smolyan Province	BG	Bulgaria	1021	324	2946	1178	7	0
sofia_city_province	Sofia City Province	BG	Bulgaria	2023	579	2585312	876027	13384	1646
sofia_province	Sofia Province	BG	Bulgaria	1122	349	12145	4504	36	5
stara_zagora_province	Stara Zagora Province	BG	Bulgaria	1314	403	31576	12378	90	8
varna_province	Varna Province	BG	Bulgaria	1544	470	212949	63391	868	32
veliko_tarnovo_province	Veliko Tarnovo Province	BG	Bulgaria	1287	399	28133	12020	140	4
vidin_province	Vidin Province	BG	Bulgaria	995	311	2053	765	6	0
vratsa_province	Vratsa Province	BG	Bulgaria	1076	343	22314	8817	208	1
yambol_province	Yambol Province	BG	Bulgaria	1038	326	4433	1707	13	0
