country_code_filter	country_name_filter	impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IT	Italy	0_1k	0 - 1k	4286	1692	3476180	0	341318	4
IT	Italy	1k_5k	1k - 5k	5485	2437	23719430	4744835	466549	21
IT	Italy	5k_10k	5k - 10k	2503	1354	21000935	10501517	209127	701
IT	Italy	10k_50k	10k - 50k	3643	1376	137998886	27600329	434046	41001
IT	Italy	50k_100k	50k - 100k	773	329	49513858	24757176	206201	40929
IT	Italy	100k_200k	100k - 200k	473	200	54928585	27464430	165707	48912
IT	Italy	200k_500k	200k - 500k	338	142	89598239	35839367	258494	68107
IT	Italy	500k_1m	500k - 1m	117	58	51713484	25856768	166318	39978
