age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	SE	Sweden	1429	408	2935604	1033574	16332	3808
18_24	18-24	SE	Sweden	9219	1772	33073972	11878823	254536	64078
25_34	25-34	SE	Sweden	10987	1952	45044230	15777849	364852	90130
35_44	35-44	SE	Sweden	11005	1930	35911316	12124388	300979	73491
45_54	45-54	SE	Sweden	10466	1879	31951364	10650282	281116	68441
55_64	55-64	SE	Sweden	9328	1778	24039910	7762589	227524	55840
65_	65+	SE	Sweden	8261	1617	28139709	9246652	286042	71263
