region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
central_finland	Central Finland	FI	Finland	3045	529	1215465	279465	20797	1511
central_ostrobothnia	Central Ostrobothnia	FI	Finland	2370	419	131592	26334	3563	23
etela_savo	Etelä-Savo	FI	Finland	2577	454	338231	86544	6557	263
kainuu	Kainuu	FI	Finland	2171	378	297927	56058	9093	127
kymenlaakso	Kymenlaakso	FI	Finland	2691	483	326040	86461	5534	315
lapland_finland	Lapland (Finland)	FI	Finland	2856	520	853722	212355	16478	563
north_karelia	North Karelia	FI	Finland	2667	454	210090	51021	5840	146
northern_ostrobothnia	Northern Ostrobothnia	FI	Finland	3191	545	1945122	535046	29641	1853
ostrobothnia_region	Ostrobothnia (region)	FI	Finland	3076	541	1378068	331062	20910	676
pirkanmaa	Pirkanmaa	FI	Finland	3504	647	2819583	803158	40555	4198
pohjois_savo	Pohjois-Savo	FI	Finland	2804	497	496244	127015	10489	469
paijat_hame	Päijät-Häme	FI	Finland	2810	518	488243	112872	7920	424
satakunta	Satakunta	FI	Finland	2750	503	550092	133588	11561	502
south_karelia	South Karelia	FI	Finland	2552	446	271587	60323	4939	291
southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	2596	479	360995	84181	10985	266
southwest_finland	Southwest Finland	FI	Finland	4237	728	2560333	721972	47862	3119
tavastia_proper	Tavastia Proper	FI	Finland	2785	511	292738	69394	6649	236
uusimaa	Uusimaa	FI	Finland	5158	943	17080998	5266399	214045	28030
aland_islands	Åland Islands	FI	Finland	2211	407	366814	87909	3747	450
