recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-15	2019-05-15	AT	Austria	4200	204	5499178	1654039	63677	5346
rd2	Last 2 days	2019-05-14	2019-05-15	AT	Austria	4354	216	11959963	3625108	134237	11682
rd3	Last 3 days	2019-05-13	2019-05-15	AT	Austria	4470	225	18903386	5809338	204296	18520
rd4	Last 4 days	2019-05-12	2019-05-15	AT	Austria	4863	235	25191531	7860222	269827	26400
rd5	Last 5 days	2019-05-11	2019-05-15	AT	Austria	4971	245	32260124	10104336	338316	34513
rd6	Last 6 days	2019-05-10	2019-05-15	AT	Austria	5068	252	38676349	12206766	402425	42193
rw1	Last week	2019-05-09	2019-05-15	AT	Austria	5175	262	44994771	14307349	463452	49406
rw2	Last 2 weeks	2019-05-02	2019-05-15	AT	Austria	6043	332	80286164	26472309	792012	97935
rw3	Last 3 weeks	2019-04-25	2019-05-15	AT	Austria	7382	434	112179253	37967137	1087006	146800
rw4	Last 4 weeks	2019-04-18	2019-05-15	AT	Austria	7832	527	126256892	42757720	1205618	164341
rm1	Last month	2019-04-16	2019-05-15	AT	Austria	7969	557	128813748	43673170	1225076	167009
rm2	Last 2 months	2019-03-17	2019-05-15	AT	Austria	10475	1198	158866186	54005045	1479275	202130
rm3	Last 3 months	2019-02-15	2019-05-15	AT	Austria	11114	1306	168066754	57379448	1560075	213702
rm6	Last 6 months	2019-01-01	2019-05-15	AT	Austria	11440	1359	173306556	59239521	1607098	220912
