gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	185525	23886	2428527885	884551190	18240297	2636407
m	male	179145	23331	2620156432	954169684	18782554	2682182
u	unknown	142242	21469	32170071	11274126	306274	45452
