country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
RO	Romania	m25_34	male (25-34)	5398	1209	36980552	15714657	77514	17314
RO	Romania	m35_44	male (35-44)	5385	1196	35429222	14824767	74785	16500
RO	Romania	m45_54	male (45-54)	5270	1151	33830637	13993822	76745	16910
RO	Romania	m18_24	male (18-24)	4935	1122	28606625	12236020	54801	12120
RO	Romania	f55_64	female (55-64)	4837	1103	26177801	10566396	57716	12376
RO	Romania	f45_54	female (45-54)	5413	1175	26062674	10826644	56911	12647
RO	Romania	f18_24	female (18-24)	5034	1135	22580724	9729652	38515	8486
RO	Romania	f35_44	female (35-44)	5529	1213	21500552	9064555	44504	9887
RO	Romania	f25_34	female (25-34)	5518	1223	20945429	8929822	44515	9881
RO	Romania	m55_64	male (55-64)	4723	1087	20466236	8279150	45974	9801
RO	Romania	f65_	female (65+)	4025	975	12917768	5150730	29510	6298
RO	Romania	m65_	male (65+)	3966	958	9695264	3891041	22247	4711
RO	Romania	f13_17	female (13-17)	804	245	1981108	781546	3253	495
RO	Romania	m13_17	male (13-17)	784	239	1965309	771043	3704	607
RO	Romania	u35_44	unknown (35-44)	4122	982	155984	63844	431	93
RO	Romania	u25_34	unknown (25-34)	3653	933	97647	40472	272	59
RO	Romania	u45_54	unknown (45-54)	3765	903	66201	26718	195	41
RO	Romania	u55_64	unknown (55-64)	2877	773	31179	12418	79	16
RO	Romania	u18_24	unknown (18-24)	2501	698	30053	12564	79	16
RO	Romania	u65_	unknown (65+)	2278	668	23408	9295	59	12
RO	Romania	u13_17	unknown (13-17)	326	148	3436	1329	5	0
