country_code_filter	country_name_filter	age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IE	Ireland	13_17	13-17	593	211	1110013	406094	5693	311
IE	Ireland	18_24	18-24	4060	1052	17470509	6900272	101267	15550
IE	Ireland	25_34	25-34	4629	1151	13454644	5031909	91423	13956
IE	Ireland	35_44	35-44	4585	1143	10522172	3919050	74863	11367
IE	Ireland	45_54	45-54	4350	1099	6774336	2440571	49294	7123
IE	Ireland	55_64	55-64	3644	1014	3524519	1223244	26278	3561
IE	Ireland	65_	65+	3114	904	2553522	877757	18766	2664
