impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	99899	11444	182110798	0	8319962	5451
1k_5k	1k - 5k	79057	14589	348646640	64738000	6162846	89886
5k_10k	5k - 10k	39862	7725	266180578	127715000	2916223	184297
10k_50k	10k - 50k	51029	7488	1832952502	359261178	8881665	1488052
50k_100k	50k - 100k	8369	2065	745887038	357269410	3851148	1037771
100k_200k	100k - 200k	5287	1234	817390214	393019410	4217474	1137188
200k_500k	200k - 500k	2460	717	1220403994	476940636	5481193	1339072
500k_1m	500k - 1m	821	267	755296092	366329681	3163096	856490
1m_10m	1m - 10m	94	13	28296819	2829681	1414	0
