recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	SE	Sweden	2388	396	21581664	7988463	280973	74614
rd2	Last 2 days	2019-05-25	2019-05-26	SE	Sweden	2968	456	45005290	16558643	583252	156868
rd3	Last 3 days	2019-05-24	2019-05-26	SE	Sweden	3289	486	64630991	23764414	833007	221412
rd4	Last 4 days	2019-05-23	2019-05-26	SE	Sweden	3455	496	79360819	29111696	1002494	267258
rd5	Last 5 days	2019-05-22	2019-05-26	SE	Sweden	3604	500	91504121	33595586	1139344	305521
rd6	Last 6 days	2019-05-21	2019-05-26	SE	Sweden	3723	502	99933982	36719598	1229687	330440
rw1	Last week	2019-05-20	2019-05-26	SE	Sweden	3808	509	105177391	38604260	1284502	344176
rw2	Last 2 weeks	2019-05-13	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rw3	Last 3 weeks	2019-05-06	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rw4	Last 4 weeks	2019-04-29	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rm1	Last month	2019-04-27	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rm2	Last 2 months	2019-03-28	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rm3	Last 3 months	2019-02-26	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
rm6	Last 6 months	2019-01-01	2019-05-26	SE	Sweden	3892	512	109025877	39965260	1335726	357055
