advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	w018	Week 18	42	1	152177231	15216895	322736	5587
AMERISOFT SRL		AR573801583431647232	Google	w018	Week 18	153	1	74261176	7413930	6544	410
Freiheitliche Partei Österreich		AR333020356698701824	Google	w018	Week 18	41	1	31097953	3104609	190108	15774
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w018	Week 18	76	1	27552903	2739318	296348	17855
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w018	Week 18	77	1	23592039	2348062	86674	1959
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	w018	Week 18	143	1	19400595	1879666	8367	313
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	w018	Week 18	1488	1	17372354	999728	41873	267
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w018	Week 18	446	1	15657290	1379183	18867	676
Občanska demokraticka strana		AR386241117529571328	Google	w018	Week 18	31	1	14275571	1410000	28456	607
CDU Christlich Demokratische Union		AR68737343799951360	Google	w018	Week 18	2557	1	13943095	722500	115615	8712
mmb media agentur d.o.o.		AR524572049809604608	Google	w018	Week 18	747	1	9376773	394285	27941	0
Alternativet		AR198061076825243648	Google	w018	Week 18	6	1	8677857	866785	43633	786
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	w018	Week 18	28	1	8127368	810526	1013	55
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	w018	Week 18	124	1	6974083	669750	4701	236
Liberal Alliance		AR183859784640888832	Google	w018	Week 18	99	1	5621107	528125	118104	3076
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w018	Week 18	56	1	5468371	538382	165522	2996
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	w018	Week 18	8	1	4780000	478000	26500	500
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w018	Week 18	102	1	4629877	450361	1881	73
Párbeszéd Magyarországért		AR567356246269624320	Google	w018	Week 18	9	1	4486056	446653	11421	216
CDA Doetinchem		AR453512812329697280	Google	w018	Week 18	35	1	3813835	376314	1105	43
HLAS		AR312619193323225088	Google	w018	Week 18	381	1	3374404	179859	10132	173
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w018	Week 18	49	1	3291023	314142	1238	40
SPD		AR456734381399080960	Google	w018	Week 18	32	1	3171418	313000	178109	13616
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	w018	Week 18	26	1	3053666	300250	2246	185
Cink, s.r.o.		AR361287976015101952	Google	w018	Week 18	29	1	2984698	294647	1372	97
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	w018	Week 18	24	1	2813315	280106	2302	212
UAB "BPN LT"		AR135010682042056704	Google	w018	Week 18	32	1	2675677	267567	1337	77
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w018	Week 18	32	1	2457874	235000	2167	152
