advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	24360949	11482000	49245	21827
We are the 52%	We are the 52%	466744973727718	Facebook	278	1	23669722	8727000	66679	9026
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	110	1	23150000	2300000	237650	6000
Partito Democratico		77034286895	Facebook	141	1	23021859	10212000	85359	19900
Partido Animalista PACMA		AR145115193901318144	Google	6	1	23010000	2300000	120550	2050
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	22984894	9865000	203594	46900
Sosialidemokraatit SDP		108945982480217	Facebook	317	1	22432683	8717000	145283	32000
Partido Popular Regional De Canarias		AR288284801977286656	Google	139	1	22360000	2170000	12800	650
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1489	1	21100000	690000	80300	650
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	118	1	20440000	1960000	7700	200
Suomen Keskusta r.p.		AR441112520191639552	Google	34	1	20050000	1990000	305250	5450
Harald Vilimsky		547597092025909	Facebook	178	1	17580822	7475000	164022	38200
Alternativet		AR198061076825243648	Google	11	1	17210000	1720000	34100	900
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	27	1	16999973	7900000	48973	12200
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	176	1	16931824	6959000	52524	10300
SPÖ	SPÖ	77393060080	Facebook	728	1	16906272	5691000	130272	17400
Greenpeace Deutschland		22541752487	Facebook	490	1	16323510	5796000	94610	12900
Rädda Barnen		72659261793	Facebook	571	1	16223429	5209000	142071	35783
Un país moderno	Unidas Podemos	577723459314066	Facebook	64	1	15626936	7060000	84536	18000
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	79	1	15353921	6996000	36345	8900
Kyriakos Mitsotakis		34848567724	Facebook	80	1	14628920	6238000	35120	7400
Fidesz	Fidesz	9844779306	Facebook	76	1	14104924	6691000	47372	23217
Romania #nuepsd	Future Innovation	293215748279337	Facebook	34	1	13159966	6065000	8523	3592
The Brexit Party	The Brexit Party	230416667843105	Facebook	78	1	13095922	6190000	184597	54156
Patryk Jaki		199877710116314	Facebook	255	1	12898745	5043000	58146	13423
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	72	1	12796928	5387000	32228	5600
Save the Children Italia		46590675335	Facebook	47	1	12386953	5553000	52453	13900
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	4	1	12100000	1210000	61000	1100
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	82	1	11770918	5145000	43138	10253
Plan International Sverige		382243262003	Facebook	346	1	11655654	3832000	98465	24170
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11644886	5532000	45186	9300
HLAS		AR312619193323225088	Google	618	1	11490000	590000	40800	1100
