location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	52247	4889	795714538	271727923	9965203	1354335
flemish_region_BE	Flemish Region, Belgium	11057	1851	263457043	102048900	1767428	326439
andalusia_ES	Andalusia, Spain	10184	1379	110255778	42396778	691866	103221
cataluna_ES	Cataluña, Spain	10010	1489	105376317	41572025	644424	105081
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	27200	2383	102327647	32600548	1042310	100046
attica_region_EL	Attica (region), Greece	6784	1211	102193974	37951331	401977	44182
vienna_AT	Vienna, Austria	9077	1173	87377104	30560343	777292	119566
comunidad_valenciana_ES	Comunidad Valenciana, Spain	9691	1307	75323675	29416521	435517	72020
lombardia_IT	Lombardia, Italy	11523	2934	73538014	26961012	388598	44115
wallonia_BE	Wallonia, Belgium	7673	1635	71319164	26794564	492868	83099
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	9107	1355	70034868	28121398	425905	71563
baden_wurttemberg_DE	Baden-Württemberg, Germany	27297	2307	64847575	20419824	748705	61083
ile_de_france_FR	Île-de-France, France	10805	2425	58944031	22483918	502536	81631
bayern_DE	Bayern, Germany	26073	2274	56668197	18909919	626756	63797
scotland_UK	Scotland, United Kingdom	20787	2285	56656813	19961379	630288	94534
lazio_IT	Lazio, Italy	10339	2605	55266140	20050739	286265	32626
brussels_BE	Brussels, Belgium	8918	1681	55090051	19984622	464904	78148
budapest_HU	Budapest, Hungary	4353	917	51060295	20658832	130403	40928
bucharest_RO	Bucharest, Romania	4536	940	50672414	21193518	117963	26683
wales_UK	Wales, United Kingdom	23143	2369	50404353	17091964	591222	83233
campania_IT	Campania, Italy	9641	2334	48581972	18065141	233693	27176
stockholm_county_SE	Stockholm County, Sweden	8507	1301	46953183	16024382	378818	92972
piedmont_IT	Piedmont, Italy	10497	2552	44388841	16003313	235562	28207
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	7831	1210	42482834	13239507	413866	95420
central_macedonia_EL	Central Macedonia, Greece	5599	1031	41348880	15318384	154020	14643
sicilia_IT	Sicilia, Italy	9029	2233	41083454	15505524	192441	23134
emilia_romagna_IT	Emilia-Romagna, Italy	10467	2626	40198813	14412805	234193	22354
niedersachsen_DE	Niedersachsen, Germany	25048	2028	40100191	12416060	416586	35087
masovian_voivodeship_PL	Masovian Voivodeship, Poland	5395	1195	39220351	14161851	146818	29728
veneto_IT	Veneto, Italy	9896	2519	36808250	13198867	194999	19356
