country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	zagreb	Zagreb	2463	627	3898497	1313169	14857	1214
HR	Croatia	istria_county	Istria County	1939	484	1043912	265869	4105	234
HR	Croatia	split_dalmatia_county	Split-Dalmatia County	2084	554	834278	293203	2820	190
HR	Croatia	osijek_baranja_county	Osijek-Baranja County	1950	505	520738	157863	2175	88
HR	Croatia	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	2043	536	476137	120689	1868	50
HR	Croatia	dubrovnik_neretva_county	Dubrovnik-Neretva County	1783	463	152650	35970	804	6
HR	Croatia	brod_posavina_county	Brod-Posavina County	1639	415	140048	41262	709	12
HR	Croatia	varazdin_county	Varaždin County	1744	421	127376	38246	1063	14
HR	Croatia	zagreb_county	Zagreb County	1696	408	106905	27869	413	10
HR	Croatia	bjelovar_bilogora_county	Bjelovar-Bilogora County	1534	383	97666	26209	481	6
HR	Croatia	vukovar_srijem_county	Vukovar-Srijem County	1645	414	96811	37533	471	17
HR	Croatia	krapina_zagorje_county	Krapina-Zagorje County	1502	362	68276	15750	248	3
HR	Croatia	medimurje_county	Međimurje County	1607	406	62011	24601	354	8
HR	Croatia	zadar_county	Zadar County	1800	467	61990	20918	175	13
HR	Croatia	virovitica_podravina_county	Virovitica-Podravina County	1445	345	50182	18584	496	4
HR	Croatia	lika_senj_county	Lika-Senj County	1284	317	42404	9069	82	0
HR	Croatia	sisak_moslavina_county	Sisak-Moslavina County	1610	393	40595	14620	147	10
HR	Croatia	karlovac_county	Karlovac County	1610	400	35424	13723	255	6
HR	Croatia	pozega_slavonia_county	Požega-Slavonia County	1441	344	27401	8726	204	2
HR	Croatia	sibenik_knin_county	Šibenik-Knin County	1604	394	25967	8114	178	4
HR	Croatia	koprivnica_krizevci_county	Koprivnica-Križevci County	1554	379	21324	7406	163	5
