country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LU	Luxembourg	luxembourg_district	Luxembourg District	3233	721	13704343	4554613	79368	7188
LU	Luxembourg	diekirch_district	Diekirch District	2118	437	173732	55543	1544	59
LU	Luxembourg	grevenmacher_district	Grevenmacher District	1950	406	60942	16954	773	17
